time,num1,num2,result,answer,correct,date
2.805963900056668,3,9,12,12,1,March and start April
1.3553423999110237,2,2,4,4,1,March and start April
1.9124586000107229,14,14,28,28,1,March and start April
1.546007000026293,12,12,24,24,1,March and start April
1.4825489000650125,14,10,24,24,1,March and start April
1.6370975999161599,14,3,17,17,1,March and start April
1.1514592000748962,3,6,9,9,1,March and start April
0.9659232000121848,3,1,4,4,1,March and start April
3.172084199963137,13,8,21,21,1,March and start April
1.3088302999967711,1,3,4,4,1,March and start April
2.2983670000685383,4,7,11,11,1,March and start April
1.8098717000102624,13,10,23,23,1,March and start April
0.9316619000164792,0,1,1,1,1,March and start April
2.59223639999982,11,13,24,24,1,March and start April
1.9081537000602111,8,5,13,13,1,March and start April
1.7250184000004083,4,3,7,7,1,March and start April
0.99525610008277,6,0,6,6,1,March and start April
1.256230700062588,5,4,9,9,1,March and start April
2.028290099930018,8,7,15,15,1,March and start April
1.1796725000021981,0,11,11,11,1,March and start April
1.3264824000652882,10,1,11,11,1,March and start April
1.2718413999537006,0,3,3,3,1,March and start April
2.2219943000236526,8,2,10,10,1,March and start April
3.1236253000097345,13,8,21,21,1,March and start April
2.0753601000178605,6,2,8,8,1,March and start April
2.442027000011876,2,10,12,12,1,March and start April
1.2662580999312922,0,14,14,14,1,March and start April
1.6063083000481129,14,10,24,24,1,March and start April
2.905127399950288,7,7,14,14,1,March and start April
1.8864780999720097,0,13,13,13,1,March and start April
3.4862645999528468,5,9,14,14,1,March and start April
1.4375705999555066,7,2,9,9,1,March and start April
2.092643999960273,8,14,22,22,1,March and start April
1.0702391000231728,4,5,9,9,1,March and start April
1.3399471000302583,5,10,15,15,1,March and start April
2.497833000030369,11,12,23,23,1,March and start April
2.3201084000756964,10,11,21,21,1,March and start April
5.01215950003825,8,5,13,13,1,March and start April
3.2982717000413686,9,1,10,10,1,March and start April
2.4225501000182703,7,11,18,18,1,March and start April
1.609097299980931,10,7,17,17,1,March and start April
1.3850032000336796,2,7,9,9,1,March and start April
1.2317471000133082,2,2,4,4,1,March and start April
1.1608907000627369,0,2,2,2,1,March and start April
1.826148599968292,1,16,17,17,1,March and start April
7.402345500071533,16,18,34,34,1,March and start April
1.6102804000256583,14,0,14,14,1,March and start April
1.9019894000375643,6,18,24,24,1,March and start April
3.783263700082898,19,9,28,28,1,March and start April
1.694156299927272,4,15,19,19,1,March and start April
4.329736699932255,4,19,23,23,1,March and start April
2.639119900064543,9,17,26,26,1,March and start April
1.2546550000552088,4,4,8,8,1,March and start April
6.654819899937137,19,17,36,36,1,March and start April
2.7869095000205566,7,19,26,26,1,March and start April
4.456916199997068,13,11,24,24,1,March and start April
1.9073642999865117,13,13,26,26,1,March and start April
2.3628371999366213,9,6,15,15,1,March and start April
2.229194500017911,16,4,20,20,1,March and start April
1.836544599966146,8,6,14,14,1,March and start April
1.0316582999657842,0,1,1,1,1,March and start April
1.3881609999807552,11,11,22,22,1,March and start April
1.1342750999610869,3,6,9,9,1,March and start April
3.3271359000355005,17,10,27,27,1,March and start April
2.1331652000080794,11,9,20,20,1,March and start April
